,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,12200,12200,12200,12200,-,11400
1,22/11/2022,12200,12200,12200,12200,-,11400
2,23/11/2022,12200,12200,12200,12200,-,11400
3,24/11/2022,12200,12200,12200,12200,-,11400
4,25/11/2022,12200,12200,12200,12200,-,11400
5,28/11/2022,12200,12200,12200,12200,-,11400
6,29/11/2022,12200,12200,12200,12200,-,11400
7,30/11/2022,12200,12200,12200,12200,-,11400
8,01/12/2022,12200,12200,12200,12200,-,11400
9,02/12/2022,12200,12200,12200,12200,-,11400
10,05/12/2022,12200,12200,12200,12200,-,11400
11,06/12/2022,12200,12200,12200,12200,-,11400
12,07/12/2022,12200,12200,12200,12200,-,11400
13,08/12/2022,12200,12200,12200,12200,-,11400
14,09/12/2022,12200,12200,12200,12200,-,11400
15,12/12/2022,12200,12200,12200,12200,-,11400
16,13/12/2022,12200,12200,12200,12200,-,11400
17,14/12/2022,12200,12200,12200,12200,-,11400
18,15/12/2022,12200,12200,12200,12200,-,11400
19,16/12/2022,12200,12200,12200,12200,-,11400
20,19/12/2022,12200,12200,12200,12200,-,11400
21,20/12/2022,12200,12200,12200,12200,-,11400
22,21/12/2022,12200,12200,12200,12200,-,11400
23,22/12/2022,12200,12200,12200,12200,-,11400
24,23/12/2022,12200,12200,12200,12200,-,11400
25,26/12/2022,12200,12200,12200,12200,-,11400
26,27/12/2022,12200,12200,12200,12200,-,11400
27,28/12/2022,12200,12200,12200,12200,-,11400
28,29/12/2022,12200,12200,12200,12200,-,11400
29,30/12/2022,12200,12200,12200,12200,-,11400
30,03/01/2023,12200,12200,12200,12200,-,11400
31,04/01/2023,12200,12200,12200,12200,-,11400
32,05/01/2023,12200,12200,12200,12200,-,11400
33,06/01/2023,12200,12200,12200,12200,-,11400
34,09/01/2023,12200,12200,12200,12200,2800,11400
35,10/01/2023,12200,12200,12200,12200,-,11400
36,11/01/2023,12200,12200,12200,12200,-,11400
37,12/01/2023,12200,12200,12200,12200,-,11400
38,13/01/2023,12200,12200,12200,12200,-,11400
39,16/01/2023,12200,12200,12200,12200,-,11400
40,17/01/2023,12200,12200,12200,12200,3000,11400
41,18/01/2023,12200,12200,12200,12200,-,11400
42,19/01/2023,12200,12200,12200,12200,-,11400
43,27/01/2023,12200,12200,12200,12200,-,11400
44,30/01/2023,12200,12200,12200,12200,-,11400
45,31/01/2023,12200,12200,12200,12200,-,11400
46,01/02/2023,12200,12200,12200,12200,-,11400
47,02/02/2023,12200,12200,12200,12200,-,11400
48,03/02/2023,12200,12200,12200,12200,-,11400
49,06/02/2023,12200,12200,12200,12200,-,11400
50,07/02/2023,12200,12200,12200,12200,-,11400
51,08/02/2023,12200,12200,12200,12200,-,11400
52,09/02/2023,12200,12200,12200,12200,-,11400
53,10/02/2023,12200,12200,12200,12200,-,11400
54,13/02/2023,12200,12200,12200,12200,-,11400
55,14/02/2023,12200,12200,12200,12200,-,11400
56,15/02/2023,12200,12200,12200,12200,-,11400
57,16/02/2023,12200,12200,12200,12200,-,11400
58,17/02/2023,12200,12200,12200,12200,-,11400
59,20/02/2023,12200,12200,12200,12200,-,11400
60,21/02/2023,12200,12200,12200,12200,-,11400
61,22/02/2023,12200,12200,12200,12200,-,11400
62,23/02/2023,12200,12200,12200,12200,-,11400
63,24/02/2023,12200,12200,12200,12200,-,11400
64,27/02/2023,12200,12200,12200,12200,-,11400
65,28/02/2023,12200,12200,12200,12200,-,11400
66,01/03/2023,12200,12200,12200,12200,-,11400
67,02/03/2023,12200,12200,12200,12200,-,11400
68,03/03/2023,12200,12200,12200,12200,-,11400
69,06/03/2023,12200,12200,12200,12200,-,11400
70,07/03/2023,12200,12200,12200,12200,-,11400
71,08/03/2023,12200,12200,12200,12200,-,11400
72,09/03/2023,12200,12200,12200,12200,-,11400
73,10/03/2023,12200,12200,12200,12200,-,11400
74,13/03/2023,12200,12200,12200,12200,-,11400
75,14/03/2023,12200,12200,12200,12200,-,11400
76,15/03/2023,12200,12200,12200,12200,-,11400
77,16/03/2023,12200,12200,12200,12200,-,11400
78,17/03/2023,12200,12200,12200,12200,-,11400
