,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,12000,12000,12000,12000,-,12000
1,22/11/2022,12000,12000,12000,12000,-,12000
2,23/11/2022,12000,12000,12000,12000,-,12000
3,24/11/2022,12000,12000,12000,12000,-,12000
4,25/11/2022,12000,12000,12000,12000,-,12000
5,28/11/2022,12000,12000,12000,12000,-,12000
6,29/11/2022,12000,12000,12000,12000,-,12000
7,30/11/2022,12000,12000,12000,12000,-,12000
8,01/12/2022,12000,12000,12000,12000,-,12000
9,02/12/2022,12000,12000,12000,12000,-,12000
10,05/12/2022,12000,12000,12000,12000,-,12000
11,06/12/2022,12000,12000,12000,12000,-,12000
12,07/12/2022,12000,12000,12000,12000,-,12000
13,08/12/2022,12000,12000,12000,12000,-,12000
14,09/12/2022,12000,12000,12000,12000,-,12000
15,12/12/2022,12000,12000,12000,12000,-,12000
16,13/12/2022,12000,12000,12000,12000,-,12000
17,14/12/2022,12000,12000,12000,12000,-,12000
18,15/12/2022,12000,12000,12000,12000,-,12000
19,16/12/2022,12000,12000,12000,12000,-,12000
20,19/12/2022,12000,12000,12000,12000,-,12000
21,20/12/2022,12000,12000,12000,12000,-,12000
22,21/12/2022,12000,12000,12000,12000,-,12000
23,22/12/2022,12000,12000,12000,12000,-,12000
24,23/12/2022,12000,12000,12000,12000,-,12000
25,26/12/2022,12000,12000,12000,12000,-,12000
26,27/12/2022,12000,12000,12000,12000,-,12000
27,28/12/2022,12000,12000,12000,12000,-,12000
28,29/12/2022,12000,12000,12000,12000,-,12000
29,30/12/2022,12000,12000,12000,12000,-,12000
30,03/01/2023,12000,12000,12000,12000,-,12000
31,04/01/2023,12000,12000,12000,12000,-,12000
32,05/01/2023,12000,12000,12000,12000,-,12000
33,06/01/2023,12000,12000,12000,12000,-,12000
34,09/01/2023,12000,12000,12000,12000,-,12000
35,10/01/2023,12000,12000,12000,12000,-,12000
36,11/01/2023,12000,12000,12000,12000,-,12000
37,12/01/2023,12000,12000,12000,12000,-,12000
38,13/01/2023,12000,12000,12000,12000,-,12000
39,16/01/2023,12000,12000,12000,12000,-,12000
40,17/01/2023,12000,12000,12000,12000,-,12000
41,18/01/2023,12000,12000,12000,12000,-,12000
42,19/01/2023,12000,12000,12000,12000,-,12000
