,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,9400,9400,9400,9400,-,8400
1,22/11/2022,9400,9400,9400,9400,-,8400
2,23/11/2022,9400,9400,9400,9400,-,8400
3,24/11/2022,9400,9400,9400,9400,-,8400
4,25/11/2022,9400,9400,9400,9400,-,8400
5,28/11/2022,9400,9400,9400,9400,-,8400
6,29/11/2022,9400,9400,9400,9400,-,8400
7,30/11/2022,9400,9400,9400,9400,-,8400
8,01/12/2022,9400,9400,9400,9400,-,8400
9,02/12/2022,9400,9400,9400,9400,-,8400
10,05/12/2022,9400,9400,9400,9400,-,8400
11,06/12/2022,9400,9400,9400,9400,-,8400
12,07/12/2022,9400,9400,9400,9400,-,8400
13,08/12/2022,9400,9400,9400,9400,-,8400
14,09/12/2022,9400,9400,9400,9400,-,8400
15,12/12/2022,9400,9400,9400,9400,-,8400
16,13/12/2022,9400,9400,9400,9400,-,8400
17,14/12/2022,9400,9400,9400,9400,-,8400
18,15/12/2022,9400,9400,9400,9400,-,8400
19,16/12/2022,9400,9400,9400,9400,-,8400
20,19/12/2022,9400,9400,9400,9400,-,8400
21,20/12/2022,9400,9400,9400,9400,-,8400
22,21/12/2022,9400,9400,9400,9400,-,8400
23,22/12/2022,9400,9400,9400,9400,-,8400
24,23/12/2022,9400,9400,9400,9400,-,8400
25,26/12/2022,9400,9400,9400,9400,-,8400
26,27/12/2022,9400,9400,9400,9400,-,8400
27,28/12/2022,9400,9400,9400,9400,-,8400
28,29/12/2022,9300,9300,9300,9300,-,8400
29,30/12/2022,9300,9300,9300,9300,-,8400
30,03/01/2023,9300,9300,9300,9300,-,8400
31,04/01/2023,9300,9300,9300,9300,-,8400
32,05/01/2023,9300,9300,9300,9300,-,8400
33,06/01/2023,9300,9300,9300,9300,-,8400
34,09/01/2023,9300,9300,9300,9300,-,8400
35,10/01/2023,9300,9300,9300,9300,-,8400
36,11/01/2023,9300,9300,9300,9300,-,8400
37,12/01/2023,9300,9300,9300,9300,-,8400
38,13/01/2023,9300,9300,9300,9300,-,8400
39,16/01/2023,9300,9300,9300,9300,-,8400
40,17/01/2023,9300,9300,9300,9300,-,8400
41,18/01/2023,9300,9300,9300,9300,-,8400
42,19/01/2023,9300,9300,9300,9300,-,8400
43,27/01/2023,9300,9300,9300,9300,-,8400
44,30/01/2023,9300,9300,9300,9300,-,8400
45,31/01/2023,9300,9300,9300,9300,-,8400
46,01/02/2023,9300,9300,9300,9300,-,8400
47,02/02/2023,9300,9300,9300,9300,-,8400
48,03/02/2023,9300,9300,9300,9300,-,8400
49,06/02/2023,9300,9300,9300,9300,-,8400
50,07/02/2023,9300,9300,9300,9300,-,8400
51,08/02/2023,9300,9300,9300,9300,-,8400
52,09/02/2023,9300,9300,9300,9300,-,8400
53,10/02/2023,9300,9300,9300,9300,-,8400
54,13/02/2023,9300,9300,9300,9300,-,8400
55,14/02/2023,9300,9300,9300,9300,-,8400
56,15/02/2023,9300,9300,9300,9300,-,8400
57,16/02/2023,9300,9300,9300,9300,-,8400
58,17/02/2023,9300,9300,9300,9300,-,8400
59,20/02/2023,9300,9300,9300,9300,-,8400
60,21/02/2023,9300,9300,9300,9300,-,8400
61,22/02/2023,9300,9300,9300,9300,-,8400
62,23/02/2023,9300,9300,9300,9300,-,8400
63,24/02/2023,9300,9300,9300,9300,-,8400
64,27/02/2023,9300,9300,9300,9300,-,8400
65,28/02/2023,9300,9300,9300,9300,-,8400
66,01/03/2023,9300,9300,9300,9300,-,8400
67,02/03/2023,9300,9300,9300,9300,-,8400
68,03/03/2023,9300,9300,9300,9300,-,8400
69,06/03/2023,9300,9300,9300,9300,-,8400
70,07/03/2023,9300,9300,9300,9300,-,8400
71,08/03/2023,9300,9300,9300,9300,-,8400
72,09/03/2023,9300,9300,9300,9300,-,8400
73,10/03/2023,9300,9300,9300,9300,-,8400
74,13/03/2023,9300,9300,9300,9300,-,8400
75,14/03/2023,9300,9300,9300,9300,-,8400
76,15/03/2023,9300,9300,9300,9300,-,8400
77,16/03/2023,9300,9300,9300,9300,-,8400
78,17/03/2023,9300,9300,9300,9300,-,8400
79,20/03/2023,9300,9300,9300,9300,-,8400
80,21/03/2023,9300,9300,9300,9300,-,8400
81,22/03/2023,9300,9300,9300,9300,-,8400
82,23/03/2023,9300,9300,9300,9300,-,8400
83,24/03/2023,9300,9300,9300,9300,800,8400
84,27/03/2023,9300,9300,9300,9300,-,8400
85,28/03/2023,9300,9300,9300,9300,-,8400
86,29/03/2023,9300,9300,9300,9300,1000,8400
87,30/03/2023,9300,9300,9300,9300,-,8400
88,31/03/2023,9300,9300,9300,9300,-,8400
89,03/04/2023,9300,9300,9300,9300,-,8400
90,04/04/2023,9300,9300,9300,9300,-,8400
91,05/04/2023,9300,9300,9300,9300,-,8400
92,06/04/2023,9300,9300,9300,9300,1800,8400
93,07/04/2023,9300,9300,9300,9300,-,8400
94,10/04/2023,9300,9300,9300,9300,-,8400
95,11/04/2023,9300,9300,9300,9300,-,8400
96,12/04/2023,9300,9300,9300,9300,-,8400
97,13/04/2023,9300,9300,9300,9300,500,8400
98,14/04/2023,9300,9300,9300,9300,-,8400
99,17/04/2023,9300,9300,9300,9300,-,8400
100,18/04/2023,9300,9300,9300,9300,-,8400
101,19/04/2023,9300,9300,9300,9300,-,8400
102,20/04/2023,9300,9300,9300,9300,-,8400
103,21/04/2023,9300,9300,9300,9300,-,8400
104,24/04/2023,9300,9300,9300,9300,-,8400
105,25/04/2023,9300,9300,9300,9300,-,8400
106,26/04/2023,9300,9300,9300,9300,-,8400
107,27/04/2023,9300,9300,9300,9300,-,8400
108,28/04/2023,9300,9300,9300,9300,1000,8400
